Année;Cadres / Non Cadres;Type Emploi;Valeur;Unité;Indicateur
2021;Cadres;Fonctionnaires;4.7;heures;Nombre moyen d'heures de formation par stagiaire
2021;Cadres;Salariés CNP Assurances;21.3;heures;Nombre moyen d'heures de formation par stagiaire
2021;Non Cadres;Fonctionnaires;10.1;heures;Nombre moyen d'heures de formation par stagiaire
2021;Non Cadres;Salariés CNP Assurances;12.2;heures;Nombre moyen d'heures de formation par stagiaire
2021;Total;Fonctionnaires;9.6;heures;Nombre moyen d'heures de formation par stagiaire
2021;Total;Salariés CNP Assurances;18.8;heures;Nombre moyen d'heures de formation par stagiaire
2021;Cadres;Total;21.2;heures;Nombre moyen d'heures de formation par stagiaire
2021;Non Cadres;Total;12.1;heures;Nombre moyen d'heures de formation par stagiaire
2021;Total;Total;18.7;heures;Nombre moyen d'heures de formation par stagiaire
2022;Cadres;Fonctionnaires;1.4;heures;Nombre moyen d'heures de formation par stagiaire
2022;Cadres;Salariés CNP Assurances;22.8;heures;Nombre moyen d'heures de formation par stagiaire
2022;Non Cadres;Fonctionnaires;6.9;heures;Nombre moyen d'heures de formation par stagiaire
2022;Non Cadres;Salariés CNP Assurances;14.9;heures;Nombre moyen d'heures de formation par stagiaire
2022;Total;Fonctionnaires;6.6;heures;Nombre moyen d'heures de formation par stagiaire
2022;Total;Salariés CNP Assurances;20.8;heures;Nombre moyen d'heures de formation par stagiaire
2022;Cadres;Total;22.8;heures;Nombre moyen d'heures de formation par stagiaire
2022;Non Cadres;Total;14.7;heures;Nombre moyen d'heures de formation par stagiaire
2022;Total;Total;20.7;heures;Nombre moyen d'heures de formation par stagiaire
2023;Cadres;Fonctionnaires;10.4;heures;Nombre moyen d'heures de formation par stagiaire
2023;Cadres;Salariés CNP Assurances;27.9;heures;Nombre moyen d'heures de formation par stagiaire
2023;Non Cadres;Fonctionnaires;13.8;heures;Nombre moyen d'heures de formation par stagiaire
2023;Non Cadres;Salariés CNP Assurances;22.4;heures;Nombre moyen d'heures de formation par stagiaire
2023;Total;Fonctionnaires;13.5;heures;Nombre moyen d'heures de formation par stagiaire
2023;Total;Salariés CNP Assurances;26.6;heures;Nombre moyen d'heures de formation par stagiaire
2023;Cadres;Total;27.9;heures;Nombre moyen d'heures de formation par stagiaire
2023;Non Cadres;Total;22.2;heures;Nombre moyen d'heures de formation par stagiaire
2023;Total;Total;26.5;heures;Nombre moyen d'heures de formation par stagiaire
