Localisation;Année;Valeur;Unité;Indicateur
Monde;2022;1.5;%;Proportion de seniors par localisation
Europe;2022;1.9;%;Proportion de seniors par localisation
Asie;2022;0.4;%;Proportion de seniors par localisation
Afrique & Moyen-Orient;2022;0.7;%;Proportion de seniors par localisation
Amériques;2022;0.6;%;Proportion de seniors par localisation
Océanie;2022;0.8;%;Proportion de seniors par localisation
Monde;2023;1.5;%;Proportion de seniors par localisation
Europe;2023;2.0;%;Proportion de seniors par localisation
Asie;2023;0.3;%;Proportion de seniors par localisation
Afrique & Moyen-Orient;2023;0.6;%;Proportion de seniors par localisation
Amériques;2023;0.8;%;Proportion de seniors par localisation
Océanie;2023;0.8;%;Proportion de seniors par localisation
