Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Cadre;290437.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Maîtrise;159668.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Exécution;27781.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Cadre;8008.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Maîtrise;0.0;heures;§1.8.6
2022;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Cadre;311234.0;heures;§1.8.6
2022;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Exécution;31882.0;heures;§1.8.6
2022;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Cadre;7932.0;heures;§1.8.6
2022;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2022;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Maîtrise;0.0;heures;§1.8.6
2022;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Maîtrise;176515.0;heures;§1.8.6
2021;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Maîtrise;0.0;heures;§1.8.6
2021;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Cadre;7539.0;heures;§1.8.6
2021;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2021;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Exécution;44338.0;heures;§1.8.6
2021;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Cadre;303498.0;heures;§1.8.6
2021;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Maîtrise;204612.0;heures;§1.8.6
2020;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Cadre;337576.0;heures;§1.8.6
2020;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2020;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Maîtrise;198842.0;heures;§1.8.6
2020;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Cadre;6161.0;heures;§1.8.6
2020;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Exécution;44209.0;heures;§1.8.6
2020;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Maîtrise;552.0;heures;§1.8.6
2019;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Maîtrise;219746.0;heures;§1.8.6
2019;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Cadre;7514.0;heures;§1.8.6
2019;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Exécution;55396.0;heures;§1.8.6
2019;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2019;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Cadre;355560.0;heures;§1.8.6
2019;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Maîtrise;0.0;heures;§1.8.6
2018;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Cadre;1887.0;heures;§1.8.6
2018;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Maîtrise;220728.0;heures;§1.8.6
2018;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Exécution;74783.0;heures;§1.8.6
2018;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Maîtrise;0.0;heures;§1.8.6
2018;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2018;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Cadre;357899.0;heures;§1.8.6
2017;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Maîtrise;238218.0;heures;§1.8.6
2017;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Cadre;6588.0;heures;§1.8.6
2017;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2017;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Cadre;338844.0;heures;§1.8.6
2017;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Exécution;106915.0;heures;§1.8.6
2017;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Maîtrise;539.0;heures;§1.8.6
