Année;Collège;Valeur;Unité;Indicateur
2021;Cadre;56;nombre;Nombre de personnes handicapées
2020;Cadre;55;nombre;Nombre de personnes handicapées
2019;Cadre;60;nombre;Nombre de personnes handicapées
2021;Maitrise;74;nombre;Nombre de personnes handicapées
2020;Maitrise;72;nombre;Nombre de personnes handicapées
2019;Maitrise;82;nombre;Nombre de personnes handicapées
2021;Execution;24;nombre;Nombre de personnes handicapées
2020;Execution;28;nombre;Nombre de personnes handicapées
2019;Execution;47;nombre;Nombre de personnes handicapées
